Артикул;Теплоотдача;Длина;Высота;Тип
RS1-B-T10-H0300-L0400;246;400;300;10
RS1-B-T10-H0300-L0500;307;500;300;10
RS1-B-T10-H0300-L0600;369;600;300;10
RS1-B-T10-H0300-L0700;430;700;300;10
RS1-B-T10-H0300-L0800;492;800;300;10
RS1-B-T10-H0300-L0900;554;900;300;10
RS1-B-T10-H0300-L1000;615;1000;300;10
RS1-B-T10-H0300-L1100;677;1100;300;10
RS1-B-T10-H0300-L1200;738;1200;300;10
RS1-B-T10-H0300-L1300;799;1300;300;10
RS1-B-T10-H0300-L1400;861;1400;300;10
RS1-B-T10-H0300-L1500;922;1500;300;10
RS1-B-T10-H0300-L1600;984;1600;300;10
RS1-B-T10-H0300-L1700;1046;1700;300;10
RS1-B-T10-H0300-L1800;1107;1800;300;10
RS1-B-T10-H0300-L1900;1169;1900;300;10
RS1-B-T10-H0300-L2000;1230;2000;300;10
RS1-B-T10-H0300-L2100;1291;2100;300;10
RS1-B-T10-H0300-L2200;1353;2200;300;10
RS1-B-T10-H0300-L2300;1414;2300;300;10
RS1-B-T10-H0300-L2400;1476;2400;300;10
RS1-B-T10-H0300-L2500;1538;2500;300;10
RS1-B-T10-H0300-L2600;1599;2600;300;10
RS1-B-T10-H0300-L2700;1661;2700;300;10
RS1-B-T10-H0300-L2800;1722;2800;300;10
RS1-B-T10-H0300-L2900;1783;2900;300;10
RS1-B-T10-H0300-L3000;1845;3000;300;10
RS1-B-T10-H0400-L0400;290;400;400;10
RS1-B-T10-H0400-L0500;363;500;400;10
RS1-B-T10-H0400-L0600;436;600;400;10
RS1-B-T10-H0400-L0700;509;700;400;10
RS1-B-T10-H0400-L0800;581;800;400;10
RS1-B-T10-H0400-L0900;654;900;400;10
RS1-B-T10-H0400-L1000;727;1000;400;10
RS1-B-T10-H0400-L1100;799;1100;400;10
RS1-B-T10-H0400-L1200;871;1200;400;10
RS1-B-T10-H0400-L1300;945;1300;400;10
RS1-B-T10-H0400-L1400;1017;1400;400;10
RS1-B-T10-H0400-L1500;1089;1500;400;10
RS1-B-T10-H0400-L1600;1163;1600;400;10
RS1-B-T10-H0400-L1700;1235;1700;400;10
RS1-B-T10-H0400-L1800;1307;1800;400;10
RS1-B-T10-H0400-L1900;1381;1900;400;10
RS1-B-T10-H0400-L2000;1453;2000;400;10
RS1-B-T10-H0400-L2100;1526;2100;400;10
RS1-B-T10-H0400-L2200;1598;2200;400;10
RS1-B-T10-H0400-L2300;1671;2300;400;10
RS1-B-T10-H0400-L2400;1744;2400;400;10
RS1-B-T10-H0400-L2500;1816;2500;400;10
RS1-B-T10-H0400-L2600;1889;2600;400;10
RS1-B-T10-H0400-L2700;1962;2700;400;10
RS1-B-T10-H0400-L2800;2034;2800;400;10
RS1-B-T10-H0400-L2900;2106;2900;400;10
RS1-B-T10-H0400-L3000;2180;3000;400;10
RS1-B-T10-H0500-L0400;365;400;500;10
RS1-B-T10-H0500-L0500;457;500;500;10
RS1-B-T10-H0500-L0600;548;600;500;10
RS1-B-T10-H0500-L0700;640;700;500;10
RS1-B-T10-H0500-L0800;730;800;500;10
RS1-B-T10-H0500-L0900;822;900;500;10
RS1-B-T10-H0500-L1000;914;1000;500;10
RS1-B-T10-H0500-L1100;1005;1100;500;10
RS1-B-T10-H0500-L1200;1096;1200;500;10
RS1-B-T10-H0500-L1300;1187;1300;500;10
RS1-B-T10-H0500-L1400;1279;1400;500;10
RS1-B-T10-H0500-L1500;1370;1500;500;10
RS1-B-T10-H0500-L1600;1462;1600;500;10
RS1-B-T10-H0500-L1700;1552;1700;500;10
RS1-B-T10-H0500-L1800;1644;1800;500;10
RS1-B-T10-H0500-L1900;1736;1900;500;10
RS1-B-T10-H0500-L2000;1827;2000;500;10
RS1-B-T10-H0500-L2100;1919;2100;500;10
RS1-B-T10-H0500-L2200;2009;2200;500;10
RS1-B-T10-H0500-L2300;2101;2300;500;10
RS1-B-T10-H0500-L2400;2192;2400;500;10
RS1-B-T10-H0500-L2500;2284;2500;500;10
RS1-B-T10-H0500-L2600;2375;2600;500;10
RS1-B-T10-H0500-L2700;2466;2700;500;10
RS1-B-T10-H0500-L2800;2558;2800;500;10
RS1-B-T10-H0500-L2900;2649;2900;500;10
RS1-B-T10-H0500-L3000;2741;3000;500;10
RS1-B-T10-H0600-L0400;422;400;600;10
RS1-B-T10-H0600-L0500;528;500;600;10
RS1-B-T10-H0600-L0600;634;600;600;10
RS1-B-T10-H0600-L0700;739;700;600;10
RS1-B-T10-H0600-L0800;845;800;600;10
RS1-B-T10-H0600-L0900;950;900;600;10
RS1-B-T10-H0600-L1000;1056;1000;600;10
RS1-B-T10-H0600-L1100;1162;1100;600;10
RS1-B-T10-H0600-L1200;1267;1200;600;10
RS1-B-T10-H0600-L1300;1372;1300;600;10
RS1-B-T10-H0600-L1400;1479;1400;600;10
RS1-B-T10-H0600-L1500;1584;1500;600;10
RS1-B-T10-H0600-L1600;1690;1600;600;10
RS1-B-T10-H0600-L1700;1795;1700;600;10
RS1-B-T10-H0600-L1800;1901;1800;600;10
RS1-B-T10-H0600-L1900;2007;1900;600;10
RS1-B-T10-H0600-L2000;2112;2000;600;10
RS1-B-T10-H0600-L2100;2217;2100;600;10
RS1-B-T10-H0600-L2200;2324;2200;600;10
RS1-B-T10-H0600-L2300;2429;2300;600;10
RS1-B-T10-H0600-L2400;2534;2400;600;10
RS1-B-T10-H0600-L2500;2640;2500;600;10
RS1-B-T10-H0600-L2600;2746;2600;600;10
RS1-B-T10-H0600-L2700;2851;2700;600;10
RS1-B-T10-H0600-L2800;2957;2800;600;10
RS1-B-T10-H0600-L2900;3062;2900;600;10
RS1-B-T10-H0600-L3000;3168;3000;600;10
RS1-B-T11-H0300-L0400;331;400;300;11
RS1-B-T11-H0300-L0500;414;500;300;11
RS1-B-T11-H0300-L0600;496;600;300;11
RS1-B-T11-H0300-L0700;579;700;300;11
RS1-B-T11-H0300-L0800;661;800;300;11
RS1-B-T11-H0300-L0900;744;900;300;11
RS1-B-T11-H0300-L1000;827;1000;300;11
RS1-B-T11-H0300-L1100;910;1100;300;11
RS1-B-T11-H0300-L1200;993;1200;300;11
RS1-B-T11-H0300-L1300;1075;1300;300;11
